City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
133,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
134,Aswan,EG,85.73,clear sky,24.0934,32.907,Nuba Nile
136,Villarrica,PY,81.09,scattered clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
137,Sitio Novo Do Tocantins,BR,75.7,heavy intensity rain,-5.5183,-47.4611,Imperial Hotel
140,Zwedru,LR,75.99,moderate rain,6.0667,-8.1281,Elijah Worjloh
143,Adrar,MR,82.09,clear sky,20.5022,-10.0711,
144,Pouembout,NC,78.03,broken clouds,-21.1333,164.9,Camping de Tipenga
145,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
147,Cockburn Town,TC,78.49,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
149,Taoudenni,ML,81.75,clear sky,22.6783,-3.9836,
156,Bandarbeyla,SO,79.99,overcast clouds,9.4942,50.8122,JABIR HOTEL
159,Winslow,US,78.98,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
164,Cabo San Lucas,MX,85.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
165,Touros,BR,81.28,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
172,Kavieng,PG,80.69,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
177,Ranong,TH,77.0,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
181,Miram Shah,PK,75.24,clear sky,33.0086,70.0697,Bachelor Hostel
192,Sambava,MG,75.36,overcast clouds,-14.2667,50.1667,Melrose
195,Bengkulu,ID,76.62,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
200,Gurmatkal,IN,82.6,scattered clouds,16.8667,77.4,Patange Enterprises
203,Lorengau,PG,80.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
205,Vilhena,BR,77.31,broken clouds,-12.7406,-60.1458,Hotel Mirage
207,Nova Olinda Do Norte,BR,78.33,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
209,Barsi,IN,86.36,overcast clouds,18.2333,75.7,B.K.T. COMMUNICATION AND FASHION
210,Teknaf,BD,75.97,clear sky,20.8624,92.3058,Forestry Guesthouse
216,Mulatupo,PA,80.91,overcast clouds,8.9492,-77.7652,Playa Dil
220,Caravelas,BR,77.92,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
221,Karratha,AU,80.4,clear sky,-20.7377,116.8463,ibis Styles Karratha
227,Vao,NC,77.43,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
231,Pozo Colorado,PY,88.74,few clouds,-23.4923,-58.7972,Hospedaje la Amistad
233,Mahajanga,MG,79.23,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
238,Vanimo,PG,77.4,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
241,Hambantota,LK,78.03,overcast clouds,6.1241,81.1185,Bungalow 63
244,Canutama,BR,80.31,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
245,Juba,SS,88.99,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
248,Lobito,AO,76.03,scattered clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
253,Rapar,IN,79.99,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
255,San Patricio,US,89.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
261,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
264,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
268,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
269,Gigmoto,PH,78.73,light rain,13.7796,124.39,Cj's Travellers Inn
272,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
273,Pampa,US,88.75,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
274,Tual,ID,83.75,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
276,San Policarpo,PH,79.54,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
279,Mana,GF,78.3,light rain,5.6592,-53.7767,LE SAMANA
280,Ende,ID,76.51,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
284,Carauari,BR,82.51,overcast clouds,-4.8828,-66.8958,Hotel Fellip
299,Funadhoo,MV,84.15,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
300,Port Harcourt,NG,78.67,overcast clouds,4.7774,7.0134,The Riviera Homes Golf Resort
303,Kepala Batas,MY,78.75,broken clouds,5.5171,100.4265,OYO 44016 Rafik Ali Motel
313,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
315,Lamar,US,78.71,clear sky,33.6668,-95.5836,Kings Inn Paris TX
317,Ramona,US,87.17,clear sky,33.0417,-116.8681,Ramona Terrace Estates
320,Moa,CU,80.46,broken clouds,20.6569,-74.9403,Carmen
327,Alofi,NU,84.09,few clouds,-19.0595,-169.9187,Taloa Heights
334,Urucara,BR,79.5,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
335,Raga,SS,83.7,broken clouds,8.4596,25.678,
351,Eydhafushi,MV,84.69,overcast clouds,5.1033,73.0708,Soneva Fushi
353,Santa Rosa,PH,78.78,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
357,Estelle,US,75.0,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
358,Sisophon,KH,77.04,few clouds,13.5859,102.9737,Pyramid Hotel
359,Banjar,ID,75.96,broken clouds,-8.19,114.9675,The Hamsa Resort
363,Magdalena,PH,76.35,scattered clouds,14.1999,121.429,Samparada & Gestiada Residences
365,Carutapera,BR,75.2,overcast clouds,-1.195,-46.02,Lidera
368,San Juan,AR,89.22,clear sky,-31.5375,-68.5364,Hotel Provincial
370,Kinshasa,CD,76.73,light rain,-4.3246,15.3215,Star Hotel II
373,Manta,EC,83.98,broken clouds,-0.95,-80.7333,Balandra Hotel
